Total Write,Term,Node 1 Write,Node 2 Write,Node 3 Write,Node 4 Write,Node 5 Write,Node 6 Write,Node 7 Write,Node 8 Write,Node 1 Remain Percent,Node 2 Remain Percent,Node 3 Remain Percent,Node 4 Remain Percent,Node 5 Remain Percent,Node 6 Remain Percent,Node 7 Remain Percent,Node 8 Remain Percent,variance
91771037601,1,13135242382,13950641695,13847785796,14207860340,13993681035,7701495637,7485924655,7448406061,0.01313524,0.01395064,0.01384779,0.01420786,0.01399368,0.01540299,0.01497185,0.01489681,0.0000005442
94464583368,1,13574187084,14369713316,14302879202,14622855603,14356569727,7915358135,7710671080,7612349221,0.01357419,0.01436971,0.01430288,0.01462286,0.01435657,0.01583072,0.01542134,0.01522470,0.0000005330
94826725011,1,13609240169,14416996527,14354813075,14685546175,14416460950,7942394486,7738694269,7662579360,0.01360924,0.01441700,0.01435481,0.01468555,0.01441646,0.01588479,0.01547739,0.01532516,0.0000005468
97390454616,1,13931478293,14834881744,14707043495,15093578849,14838694855,8174418133,7953515574,7856843673,0.01393148,0.01483488,0.01470704,0.01509358,0.01483869,0.01634884,0.01590703,0.01571369,0.0000006007
98206260282,1,14045367614,14988899537,14840597304,15226077127,14949216304,8236606565,8005515574,7913980257,0.01404537,0.01498890,0.01484060,0.01522608,0.01494922,0.01647321,0.01601103,0.01582796,0.0000005959
99050191833,1,14172699632,15135748939,14952914386,15346925259,15066069944,8305313751,8089697174,7980822748,0.01417270,0.01513575,0.01495291,0.01534693,0.01506607,0.01661063,0.01617939,0.01596165,0.0000006103
99660447816,1,14245542470,15238200691,15050822085,15461617748,15147591534,8356997090,8136761198,8022915000,0.01424554,0.01523820,0.01505082,0.01546162,0.01514759,0.01671399,0.01627352,0.01604583,0.0000006194
100561416864,1,14371881554,15405633316,15198660362,15591227367,15260261964,8455862447,8193751601,8084138253,0.01437188,0.01540563,0.01519866,0.01559123,0.01526026,0.01691172,0.01638750,0.01616828,0.0000006365
101824931301,1,14529185554,15611249708,15401401654,15764112963,15436140287,8586962709,8290256209,8205622217,0.01452919,0.01561125,0.01540140,0.01576411,0.01543614,0.01717393,0.01658051,0.01641124,0.0000006831
102760162011,1,14669683907,15734240763,15562884973,15907100563,15585713628,8677602032,8347973040,8274963105,0.01466968,0.01573424,0.01556288,0.01590710,0.01558571,0.01735520,0.01669595,0.01654993,0.0000006907
102796162011,1,14673683907,15738240763,15570884973,15907100563,15593713628,8681602032,8347973040,8282963105,0.01467368,0.01573824,0.01557088,0.01590710,0.01559371,0.01736320,0.01669595,0.01656593,0.0000006924
103308631167,1,14743331283,15822719313,15637364405,15978494991,15667121823,8721816361,8401493793,8336289198,0.01474333,0.01582272,0.01563736,0.01597849,0.01566712,0.01744363,0.01680299,0.01667258,0.0000007087
106382678775,1,15210606233,16324575272,16092387631,16451581715,16104972042,9009840550,8638495910,8550219422,0.01521061,0.01632458,0.01609239,0.01645158,0.01610497,0.01801968,0.01727699,0.01710044,0.0000007499
108086329161,1,15455553853,16582798162,16348978670,16736048709,16336142787,9141661817,8798096164,8687048999,0.01545555,0.01658280,0.01634898,0.01673605,0.01633614,0.01828332,0.01759619,0.01737410,0.0000007756
111232329924,1,15961679747,17058593593,16794879847,17227464213,16729141677,9413506707,9090383719,8956680421,0.01596168,0.01705859,0.01679488,0.01722746,0.01672914,0.01882701,0.01818077,0.01791336,0.0000008441
111940028016,1,16070296440,17142608485,16888000712,17340563125,16820131743,9475572537,9162071473,9040783501,0.01607030,0.01714261,0.01688800,0.01734056,0.01682013,0.01895115,0.01832414,0.01808157,0.0000008770
112994608746,1,16227134511,17282012015,17025428961,17511718471,16993742965,9600802465,9226406521,9127362837,0.01622713,0.01728201,0.01702543,0.01751172,0.01699374,0.01920160,0.01845281,0.01825473,0.0000009157
113025127635,1,16227134511,17283856128,17025428961,17517562584,17003915928,9605131315,9230406521,9131691687,0.01622713,0.01728386,0.01702543,0.01751756,0.01700392,0.01921026,0.01846081,0.01826338,0.0000009209
